Date,Time,Symbol,SymbolCode,ExpiryDate,StrikePrice,CALL COI,PUT COI,PCR-COI
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,38000,0,9102,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,38500,0,-2188,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,39000,0,-2374,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,39500,0,6345,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,40000,2,6575,3287.5
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,40500,0,9974,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,41000,-24,56093,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,41500,10,39788,3978.8
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,41600,0,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,41700,1,9411,9411.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,41800,1,8611,8611.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,41900,0,10863,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,42000,34,53162,1563.588
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,42100,8,8466,1058.25
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,42200,8,10907,1363.375
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,42300,1,6710,6710.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,42400,7,13523,1931.857
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,42500,48,29049,605.188
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,42600,-9,17112,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,42700,106,18332,172.943
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,42800,71,39240,552.676
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,42900,433,28067,64.82
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,43000,1133,64519,56.945
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,43100,525,44565,84.886
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,43200,2383,65346,27.422
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,43300,7036,21614,3.072
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,43400,17691,58754,3.321
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,43500,38819,172378,4.441
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,43600,34359,128786,3.748
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,43700,62335,239337,3.84
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,43800,126101,182693,1.449
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,43900,176276,118401,0.672
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,44000,201634,35370,0.175
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,44100,109911,-1881,-0.017
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,44200,89315,-280,-0.003
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,44300,47624,-4863,-0.102
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,44400,42479,-2364,-0.056
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,44500,40503,-12287,-0.303
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,44600,72821,-710,-0.01
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,44700,36127,-717,-0.02
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,44800,23651,-2344,-0.099
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,44900,-222,-348,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,45000,63496,-1261,-0.02
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,45100,-11508,-1047,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,45200,-21732,-88,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,45300,-2364,-174,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,45400,-10803,-64,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,45500,21965,-479,-0.022
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,45600,845,-31,-0.037
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,45700,2064,-794,-0.385
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,45800,-1268,-98,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,45900,4078,-196,-0.048
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,46000,49668,-526,-0.011
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,46100,-2828,-11,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,46200,-98,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,46300,-3171,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,46400,-279,-4,0.0
