CODE,EXPIRY,CALL OI,PUT OI,CALL Vol,PUT Vol,PCR,Timestamp
BANKNIFTY,2023-09-20,9129581.0,5870999.0,195712115,198012237,0.643,2023-09-20 14:25:02
BANKNIFTY,2023-09-28,1278125.0,939470.0,5158203,4729473,0.735,2023-09-20 14:25:02
FINNIFTY,2023-09-26,246840.0,162707.0,1970554,2077319,0.659,2023-09-20 14:25:02
NIFTY,2023-09-21,3182139.0,1654453.0,31503946,26214244,0.52,2023-09-20 14:25:02
NIFTY,2023-09-28,909643.0,1047241.0,2401071,2283370,1.151,2023-09-20 14:25:02
BANKNIFTY,2023-09-20,9049685.0,6017499.0,188256230,191562160,0.665,2023-09-20 14:20:02
BANKNIFTY,2023-09-28,1283174.0,942314.0,5030848,4621166,0.734,2023-09-20 14:20:02
FINNIFTY,2023-09-26,243751.0,152533.0,1937092,1875526,0.626,2023-09-20 14:20:02
NIFTY,2023-09-21,3180177.0,1653090.0,30940240,25803425,0.52,2023-09-20 14:20:02
NIFTY,2023-09-28,908930.0,1046934.0,2358058,2241150,1.152,2023-09-20 14:20:02
BANKNIFTY,2023-09-20,9091826.0,5933340.0,181350321,184678778,0.653,2023-09-20 14:15:02
BANKNIFTY,2023-09-28,1288771.0,942547.0,4921662,4526948,0.731,2023-09-20 14:15:02
FINNIFTY,2023-09-26,243813.0,161332.0,1886187,2002073,0.662,2023-09-20 14:15:02
BANKNIFTY,2023-09-20,9050852.0,6032041.0,178047015,180767399,0.666,2023-09-20 14:10:02
BANKNIFTY,2023-09-28,1290294.0,941958.0,4872935,4490698,0.73,2023-09-20 14:10:02
FINNIFTY,2023-09-26,242273.0,160287.0,1864656,1985014,0.662,2023-09-20 14:10:02
NIFTY,2023-09-21,3191892.0,1656179.0,30059553,25115072,0.519,2023-09-20 14:10:02
NIFTY,2023-09-28,899753.0,1045054.0,2252907,2174150,1.161,2023-09-20 14:10:02
BANKNIFTY,2023-09-20,9045329.0,5940404.0,174378377,176466824,0.657,2023-09-20 14:05:02
BANKNIFTY,2023-09-28,1282931.0,927857.0,4810106,4438366,0.723,2023-09-20 14:05:02
FINNIFTY,2023-09-26,241280.0,159524.0,1843280,1967428,0.661,2023-09-20 14:05:02
NIFTY,2023-09-21,3172527.0,1643657.0,29690546,24751895,0.518,2023-09-20 14:05:02
NIFTY,2023-09-28,896501.0,1041209.0,2197908,2128159,1.161,2023-09-20 14:05:02
FINNIFTY,2023-09-26,242231.0,158895.0,1820286,1939799,0.656,2023-09-20 14:00:03
BANKNIFTY,2023-09-20,9105173.0,5918903.0,170278376,171820965,0.65,2023-09-20 14:00:02
BANKNIFTY,2023-09-28,1280308.0,925950.0,4720984,4347632,0.723,2023-09-20 14:00:02
NIFTY,2023-09-21,3170587.0,1649650.0,29082849,24045003,0.52,2023-09-20 14:00:02
NIFTY,2023-09-28,894632.0,1040772.0,2143447,2073504,1.163,2023-09-20 14:00:02
FINNIFTY,2023-09-26,242613.0,164687.0,1773757,1881815,0.679,2023-09-20 13:55:06
FINNIFTY,2023-09-26,242613.0,164687.0,1773757,1881815,0.679,2023-09-20 13:55:06
BANKNIFTY,2023-09-20,9071713.0,5932998.0,165231997,166476397,0.654,2023-09-20 13:55:05
BANKNIFTY,2023-09-20,9071713.0,5932998.0,165231997,166476397,0.654,2023-09-20 13:55:05
BANKNIFTY,2023-09-28,1264480.0,922290.0,4598001,4222322,0.729,2023-09-20 13:55:05
BANKNIFTY,2023-09-28,1264480.0,922290.0,4598001,4222322,0.729,2023-09-20 13:55:05
NIFTY,2023-09-21,3177149.0,1695244.0,28105228,22897042,0.534,2023-09-20 13:55:04
NIFTY,2023-09-21,3177149.0,1695244.0,28105228,22897042,0.534,2023-09-20 13:55:04
NIFTY,2023-09-28,880765.0,1042993.0,2032149,1975300,1.184,2023-09-20 13:55:04
NIFTY,2023-09-28,880765.0,1042993.0,2032149,1975300,1.184,2023-09-20 13:55:04
FINNIFTY,2023-09-26,242461.0,169399.0,1734448,1831154,0.699,2023-09-20 13:50:02
FINNIFTY,2023-09-26,242461.0,169399.0,1734448,1831154,0.699,2023-09-20 13:50:02
BANKNIFTY,2023-09-20,9200683.0,5932507.0,157147097,159044929,0.645,2023-09-20 13:45:03
BANKNIFTY,2023-09-28,1228977.0,912808.0,4383581,4003793,0.743,2023-09-20 13:45:03
FINNIFTY,2023-09-26,241565.0,171618.0,1714726,1808618,0.71,2023-09-20 13:45:03
FINNIFTY,2023-09-26,241565.0,171618.0,1714726,1808618,0.71,2023-09-20 13:45:03
BANKNIFTY,2023-09-20,9200683.0,5932507.0,157147097,159044929,0.645,2023-09-20 13:45:02
BANKNIFTY,2023-09-28,1228977.0,912808.0,4383581,4003793,0.743,2023-09-20 13:45:02
NIFTY,2023-09-21,3141421.0,1752121.0,26783303,21439533,0.558,2023-09-20 13:45:02
NIFTY,2023-09-21,3141421.0,1752121.0,26783303,21439533,0.558,2023-09-20 13:45:02
NIFTY,2023-09-28,867991.0,1045976.0,1909003,1834561,1.205,2023-09-20 13:45:02
NIFTY,2023-09-28,867991.0,1045976.0,1909003,1834561,1.205,2023-09-20 13:45:02
FINNIFTY,2023-09-26,242636.0,171008.0,1692616,1791575,0.705,2023-09-20 13:40:03
BANKNIFTY,2023-09-20,9158632.0,5914546.0,153915557,155813983,0.646,2023-09-20 13:40:02
BANKNIFTY,2023-09-28,1213937.0,911890.0,4252472,3943006,0.751,2023-09-20 13:40:02
NIFTY,2023-09-21,3137074.0,1749211.0,26477972,21274010,0.558,2023-09-20 13:40:02
NIFTY,2023-09-28,866156.0,1046152.0,1884237,1809928,1.208,2023-09-20 13:40:02
BANKNIFTY,2023-09-20,9146504.0,5977620.0,151408065,152768617,0.654,2023-09-20 13:35:02
BANKNIFTY,2023-09-28,1206690.0,911293.0,4178646,3906527,0.755,2023-09-20 13:35:02
FINNIFTY,2023-09-26,242622.0,168909.0,1672373,1778662,0.696,2023-09-20 13:35:02
NIFTY,2023-09-21,3119006.0,1755955.0,26030004,21007014,0.563,2023-09-20 13:35:02
NIFTY,2023-09-28,863243.0,1045714.0,1855431,1778677,1.211,2023-09-20 13:35:02
FINNIFTY,2023-09-26,236465.0,162098.0,1602351,1724105,0.686,2023-09-20 13:25:04
BANKNIFTY,2023-09-20,9113067.0,5853414.0,143595324,144158809,0.642,2023-09-20 13:25:03
BANKNIFTY,2023-09-28,1176218.0,908470.0,3966300,3774438,0.772,2023-09-20 13:25:03
NIFTY,2023-09-21,3105483.0,1773788.0,25188609,20359442,0.571,2023-09-20 13:25:03
NIFTY,2023-09-28,857591.0,1046769.0,1793634,1727966,1.221,2023-09-20 13:25:03
FINNIFTY,2023-09-26,232987.0,159916.0,1581266,1707738,0.686,2023-09-20 13:20:07
BANKNIFTY,2023-09-20,9189810.0,5770565.0,140138514,141021377,0.628,2023-09-20 13:20:06
BANKNIFTY,2023-09-28,1153876.0,905885.0,3863331,3721433,0.785,2023-09-20 13:20:06
NIFTY,2023-09-21,3081200.0,1776798.0,24804560,20120939,0.577,2023-09-20 13:20:06
NIFTY,2023-09-28,854775.0,1047665.0,1772192,1711963,1.226,2023-09-20 13:20:06
FINNIFTY,2023-09-26,227792.0,157876.0,1558786,1692112,0.693,2023-09-20 13:15:06
BANKNIFTY,2023-09-20,9188192.0,5730488.0,136709432,138060824,0.624,2023-09-20 13:15:05
BANKNIFTY,2023-09-28,1141134.0,903065.0,3783041,3675135,0.791,2023-09-20 13:15:05
NIFTY,2023-09-21,3072773.0,1782203.0,24424201,19881414,0.58,2023-09-20 13:15:04
NIFTY,2023-09-28,853235.0,1048284.0,1750285,1697137,1.229,2023-09-20 13:15:04
FINNIFTY,2023-09-26,223111.0,158278.0,1529753,1673491,0.709,2023-09-20 13:10:04
BANKNIFTY,2023-09-20,9181858.0,5578570.0,133094063,133907326,0.608,2023-09-20 13:10:03
BANKNIFTY,2023-09-28,1127343.0,899409.0,3689592,3608931,0.798,2023-09-20 13:10:03
NIFTY,2023-09-21,3066559.0,1784399.0,24134280,19679640,0.582,2023-09-20 13:10:02
NIFTY,2023-09-28,852233.0,1048603.0,1734769,1683313,1.23,2023-09-20 13:10:02
FINNIFTY,2023-09-26,217111.0,156959.0,1487341,1637580,0.723,2023-09-20 13:05:05
NIFTY,2023-09-21,3042503.0,1788501.0,23762009,19407496,0.588,2023-09-20 13:05:03
NIFTY,2023-09-28,849718.0,1048258.0,1713681,1658644,1.234,2023-09-20 13:05:03
FINNIFTY,2023-09-26,216007.0,158057.0,1470623,1621488,0.732,2023-09-20 13:00:04
BANKNIFTY,2023-09-20,9309361.0,5586623.0,122692364,124646728,0.6,2023-09-20 13:00:03
BANKNIFTY,2023-09-28,1105286.0,887733.0,3484740,3424122,0.803,2023-09-20 13:00:03
NIFTY,2023-09-21,3043006.0,1795745.0,23408005,19136729,0.59,2023-09-20 13:00:02
NIFTY,2023-09-28,849113.0,1047967.0,1696477,1643066,1.234,2023-09-20 13:00:02
BANKNIFTY,2023-09-20,9020823.0,4988573.0,80661638,80759693,0.553,2023-09-20 11:30:03
BANKNIFTY,2023-09-28,970253.0,796360.0,2482657,2454897,0.821,2023-09-20 11:30:03
FINNIFTY,2023-09-26,194623.0,141661.0,1140340,1246733,0.728,2023-09-20 11:30:03
NIFTY,2023-09-21,2984894.0,1814652.0,17240530,14323926,0.608,2023-09-20 11:30:02
NIFTY,2023-09-28,830810.0,1043433.0,1329313,1296566,1.256,2023-09-20 11:30:02
NIFTY,2023-09-21,2983417.0,1806026.0,16825515,14017478,0.605,2023-09-20 11:25:02
NIFTY,2023-09-21,2983417.0,1806026.0,16825515,14017478,0.605,2023-09-20 11:25:02
NIFTY,2023-09-28,828770.0,1041632.0,1307027,1271089,1.257,2023-09-20 11:25:02
NIFTY,2023-09-28,828770.0,1041632.0,1307027,1271089,1.257,2023-09-20 11:25:02
BANKNIFTY,2023-09-20,8947692.0,4963559.0,76719930,76096095,0.555,2023-09-20 11:20:03
BANKNIFTY,2023-09-28,945801.0,789629.0,2350483,2351530,0.835,2023-09-20 11:20:03
FINNIFTY,2023-09-26,191929.0,138248.0,1101969,1197859,0.72,2023-09-20 11:20:03
NIFTY,2023-09-21,2962410.0,1779345.0,16591425,13800949,0.601,2023-09-20 11:20:02
NIFTY,2023-09-28,826493.0,1040695.0,1293218,1252362,1.259,2023-09-20 11:20:02
FINNIFTY,2023-09-26,189936.0,138035.0,1080231,1163666,0.727,2023-09-20 11:15:03
BANKNIFTY,2023-09-20,8877646.0,4919839.0,74028548,73129058,0.554,2023-09-20 11:15:02
BANKNIFTY,2023-09-28,932003.0,781722.0,2265635,2281767,0.839,2023-09-20 11:15:02
NIFTY,2023-09-21,2946774.0,1770277.0,16211530,13537072,0.601,2023-09-20 11:15:02
NIFTY,2023-09-28,823295.0,1038051.0,1266960,1228819,1.261,2023-09-20 11:15:02
BANKNIFTY,2023-09-20,3723542.0,2836018.0,61446059,57168052,0.762,2023-09-18 21:17:01
BANKNIFTY,2023-09-28,683954.0,690830.0,1938817,1842224,1.01,2023-09-18 21:17:01
NIFTY,2023-09-21,1853897.0,1636362.0,17866190,17368016,0.883,2023-09-18 21:17:00
NIFTY,2023-09-28,767035.0,1063859.0,1063954,1394891,1.387,2023-09-18 21:17:00
BANKNIFTY,2023-09-20,3723542.0,2836018.0,61446059,57168052,0.762,2023-09-18 20:05:07
BANKNIFTY,2023-09-28,683954.0,690830.0,1938817,1842224,1.01,2023-09-18 20:05:07
