SC,SN,EC,SM,SG,TK,LS,CD,NS,TS
03D001,11.10% GOI LOAN 07/04/2003,BSE,03D001,EQUITY,800078,1,03D001,CG1110S9803,115.1
03E001,GOI LOAN 5.75% 2003,BSE,03E001,EQUITY,800004,1,03E001,CG0575S7303,110.2
03E002,GOI LOAN 11% 2003,BSE,03E002,EQUITY,800032,1,03E002,CG1100S8803,112.25
04C001,12.50% GOI LOAN 23/03/2004,BSE,04C001,EQUITY,800049,1,04C001,CG1250S9404,114.4
04E001,11.50% GOI LOAN 09/05/2004,BSE,04E001,EQUITY,800081,1,04E001,CG1150S9804,118.6
04E002,GOI LOAN 12.35% 2004,BSE,04E002,EQUITY,800051,1,04E002,CG1235S9404,110.0
04F001,GOI LOAN 6.50% 2004,BSE,04F001,EQUITY,800007,1,04F001,CG0650S7704,113.65
04F002,GOI LOAN 12.59% 2004,BSE,04F002,EQUITY,800070,1,04F002,CG1259S9704,0.02
04I001,11.98% GOI LOAN 08/09/2004,BSE,04I001,EQUITY,800093,1,04I001,CG1198S9804,141.9
04J001,GOI LOAN 11.30% 2004,BSE,04J001,EQUITY,800029,1,04J001,CG1130S8604,121.05
05D001,9.90% GOI LOAN 22/04/2005,BSE,05D001,EQUITY,800103,1,05D001,CG0990S0005,120.55
05E001,GOI LOAN 13.75% 2005,BSE,05E001,EQUITY,800055,1,05E001,CG1375S9505,0.02
05F001,14.00% GOI LOAN 08/06/2005,BSE,05F001,EQUITY,800057,1,05F001,CG1400S9505,134.2
05F002,GOI LOAN 11.25% 2005,BSE,05F002,EQUITY,800036,1,05F002,CG1125S9005,124.45
05H001,11.19% GOI LOAN 12/08/2005,BSE,05H001,EQUITY,800073,1,05H001,CG1119S9705,125.4
05I001,GOI LOAN 14% 2005,BSE,05I001,EQUITY,800058,1,05I001,CG1400A9505,110.0
05J001,GOI LOAN 6.50% 2005,BSE,05J001,EQUITY,800008,1,05J001,CG0650S7705,111.9
05J002,GOI LOAN 8.25% 2005,BSE,05J002,EQUITY,800018,1,05J002,CG0825S8205,117.9
06C001,GOI LOAN 14% 2006,BSE,06C001,EQUITY,800060,1,06C001,CG1400S9606,110.0
06D001,GOI LOAN 11.68% 2006,BSE,06D001,EQUITY,800100,1,06D001,CG1168S9906,110.0
06E001,GOI LOAN 6.75% 2006,BSE,06E001,EQUITY,800009,1,06E001,CG0675S7806,112.6
06E002,GOI LOAN 11.50% 2006,BSE,06E002,EQUITY,800028,1,06E002,CG1150S8606,132.3
06F001,13.85% GOI LOAN 24/06/2006,BSE,06F001,EQUITY,800063,1,06F001,CG1385S9606,138.7
06G001,11.00% GOI LOAN 28/07/2006,BSE,06G001,EQUITY,800109,1,06G001,CG1100S0006,129.4
06H001,13.85% GOI LOAN 26/08/2006,BSE,06H001,EQUITY,800064,1,06H001,CG1385A9606,138.9
07B001,13.65% GOI LOAN 21/02/2007,BSE,07B001,EQUITY,800067,1,07B001,CG1365S9707,141.35
07C001,12.50% GOI LOAN 25/03/2007,BSE,07C001,EQUITY,800044,1,07C001,CG1250S9207,138.45
07D001,GOI LOAN 13.05% 2007,BSE,07D001,EQUITY,800068,1,07D001,CG1305S9707,110.0
07E001,11.90% GOI LOAN 28/05/2007,BSE,07E001,EQUITY,800082,1,07E001,CG1190S9807,135.75
07J001,GOI LOAN 11.50% 2007,BSE,07J001,EQUITY,800031,1,07J001,CG1150S8707,136.85
07K001,GOI LOAN 6.75% 2007,BSE,07K001,EQUITY,800011,1,07K001,CG0675S7807,113.3
08B001,GOI LOAN 9.50% 2008,BSE,08B001,EQUITY,800021,1,08B001,CG0950S8408,128.95
08E001,12.00% GOI LOAN 02/05/2008,BSE,08E001,EQUITY,800080,1,08E001,CG1200S9808,142.0
08F001,12.10% GOI LOAN 19/06/2008,BSE,08F001,EQUITY,800084,1,08F001,CG1210S9808,144.2
08G001,12.22% GOI LOAN 24/07/2008,BSE,08G001,EQUITY,800089,1,08G001,CG1222S9808,144.25
08H001,11.40% GOI LOAN 31/08/2008,BSE,08H001,EQUITY,800112,1,08H001,CG1140S0008,140.4
08I001,12.25% GOI LOAN 08/09/2008,BSE,08I001,EQUITY,800094,1,08I001,CG1225S9808,144.3
09D001,11.99% GOI LOAN 07/04/2009,BSE,09D001,EQUITY,800099,1,09D001,CG1199S9909,146.2
09D002,6.65% GOI LOAN 05/04/2009,BSE,09D002,EQUITY,800130,1,09D002,CG0665S0209,117.7
09E001,GOI LOAN 7% 2009,BSE,09E001,EQUITY,800012,1,09E001,CG0700S7909,118.85
09E002,GOI LOAN 11.50% 2009,BSE,09E002,EQUITY,800035,1,09E002,CG1150S8909,143.85
10A001,12.29% GOI LOAN 29/01/2010,BSE,10A001,EQUITY,800097,1,10A001,CG1229S9910,151.6
10E001,7.55% GOI LOAN 14/05/2010,BSE,10E001,EQUITY,800133,1,10E001,CG0755S0210,124.05
10E002,GOI LOAN 7.50% 2010,BSE,10E002,EQUITY,800013,1,10E002,CG0750S8010,119.7
10F001,GOI LOAN 11.50% 2010,BSE,10F001,EQUITY,800037,1,10F001,CG1150S9010,144.1
10G001,12.25% GOI LOAN 02/07/2010,BSE,10G001,EQUITY,800087,1,10G001,CG1225S9810,153.15
10G002,11.30% GOI LOAN 28/07/2010,BSE,10G002,EQUITY,800110,1,10G002,CG1130S0010,147.1
11A001,12.32% GOI LOAN 29/01/2011,BSE,11A001,EQUITY,800098,1,11A001,CG1232S9911,156.0
11D001,GOI LOAN 8% 2011,BSE,11D001,EQUITY,800014,1,11D001,CG0800S8111,126.4
11G001,9.39% GOI LOAN 02/07/2011,BSE,11G001,EQUITY,800120,1,11G001,CG0939S0111,142.65
11H001,11.50% GOI LOAN 05/08/2011,BSE,11H001,EQUITY,800040,1,11H001,CG1150S9111,152.0
11J001,12.00% GOI LOAN 21/10/2011,BSE,11J001,EQUITY,800043,1,11J001,CG1200S9111,156.45
11K001,11.50% GOI LOAN 24/11/2011,BSE,11K001,EQUITY,800113,1,11K001,CG1150S0011,152.0
12D001,6.85% GOI LOAN 05/04/2012,BSE,12D001,EQUITY,800131,1,12D001,CG0685S0212,117.8
12E001,7.40% GOI LOAN 03/05/2012,BSE,12E001,EQUITY,800132,1,12E001,CG0740S0212,118.3
12F001,GOI LOAN 10.25% 2012,BSE,12F001,EQUITY,800023,1,12F001,CG1025S8412,144.75
12I001,9.40% GOI LOAN 11/09/2012,BSE,12I001,EQUITY,800140,1,12I001,CG0940S0112,138.45
13E001,9.81% GOI LOAN 30/05/2013,BSE,13E001,EQUITY,800118,1,13E001,CG0981S0113,137.9
13E002,GOI LOAN 9% 2013,BSE,13E002,EQUITY,800017,1,13E002,CG0900S8213,136.1
13H001,12.40% GOI LOAN 20/08/2013,BSE,13H001,EQUITY,800092,1,13H001,CG1240S9813,165.95
13I001,GOI LOAN 7.27% 2013,BSE,13I001,EQUITY,800146,1,13I001,CG0727S0213,110.0
14E001,GOI LOAN 10% 2014,BSE,14E001,EQUITY,800020,1,14E001,CG1000S8314,146.65
14J001,GOI LOAN 10.50% 2014,BSE,14J001,EQUITY,800024,1,14J001,CG1050S8414,148.65
14K001,11.83% GOI LOAN 12/11/2014,BSE,14K001,EQUITY,800102,1,14K001,CG1183S9914,164.55
15B001,10.47% GOI LOAN 12/02/2015,BSE,15B001,EQUITY,800115,1,15B001,CG1047S0115,152.35
15E001,10.79% GOI LOAN 19/05/2015,BSE,15E001,EQUITY,800105,1,15E001,CG1079S0015,155.9
15E002,GOI LOAN 11.50% 2015,BSE,15E002,EQUITY,800026,1,15E002,CG1150S8515,162.7
15H001,11.43% GOI LOAN 07/08/2015,BSE,15H001,EQUITY,800111,1,15H001,CG1143S0015,162.55
